id,entity_type,external_id,name,address,latitude,longitude,category,has_image_candidate,duplicate_source_table,duplicate_source_id,duplicate_match_score,score,review_bucket,review_reasons,source_url
352,restaurant,osm-node-6146985085,Banh Canh Nga,Da Nang,16.0731703,108.2207901,am-thuc-dia-phuong,False,locations,26,70.00,0,duplicate_reject_or_link,weak_address;missing_image_candidate;duplicate_match,https://www.openstreetmap.org/node/6146985085
355,restaurant,osm-node-6147077585,Banh Beo Ba Be,Da Nang,16.0629478,108.2191193,am-thuc-dia-phuong,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/6147077585
357,restaurant,osm-node-6147083886,Banh Canh Van,Da Nang,16.0600258,108.2183956,am-thuc-dia-phuong,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/6147083886
361,restaurant,osm-node-6147100486,Bun Cha Ca Hon,Da Nang,16.0725373,108.2207906,am-thuc-dia-phuong,False,locations,26,80.00,0,duplicate_reject_or_link,weak_address;missing_image_candidate;duplicate_match,https://www.openstreetmap.org/node/6147100486
362,restaurant,osm-node-6147117085,Bun Mam Ba Dong,Da Nang,16.0574457,108.2181871,am-thuc-dia-phuong,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/6147117085
363,restaurant,osm-node-6147119285,Bun Thit Nuong Ba Trai,Da Nang,16.078513,108.2173327,am-thuc-dia-phuong,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/6147119285
365,restaurant,osm-node-6147253586,Pho Bac 63,Da Nang,16.0761098,108.2157175,am-thuc-dia-phuong,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/6147253586
369,restaurant,osm-node-6151202685,Che Xuan Trang,"31, Le Duan, Da Nang",16.071271,108.2205088,am-thuc-dia-phuong,False,locations,26,70.00,2,duplicate_reject_or_link,missing_image_candidate;duplicate_match,https://www.openstreetmap.org/node/6151202685
374,restaurant,osm-node-6152603585,Oc buou tron Co Ha,"348-352, Ong Ich Khiem, Da Nang",16.0673375,108.2139836,am-thuc-dia-phuong,False,locations,91,70.00,2,duplicate_reject_or_link,missing_image_candidate;duplicate_match,https://www.openstreetmap.org/node/6152603585
387,restaurant,osm-node-6303318585,Local SeaFood Market&Restaurant,Da Nang,16.1014736,108.2582066,am-thuc-dia-phuong,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/6303318585
